ABC Data
itWORKS
Research & Engineering Center Sp. z o.o.
NetApp Poland
AXIUM
VULCAN
IMPAQ
Bonair
COMBIDATA Poland
ITC
SKK - Systemy Kodów Kreskowych
ZETO-RZESZÓW
PGS SOFTWARE SA
ESRI Polska
net-o-logy Sp. z o.o.
BLStream
Centrum Komputerowe ZETO Łódź
INDATA Software SA
Infinite
IT Serwis
CD PROJEKT SA
Outbox
Engave Sp. z o.o.
Unima 2000 Systemy Teleinformatyczne
Przedsiębiorstwo Informatyki ZETO Bydgoszcz SA
Pentacomp Systemy Informatyczne
BMC Software
D-Link (Polska)
Novell (Micro Focus)
Autodesk
MEDICALgorithmics SA
Info-Projekt IT Sp. z o.o.
Unisoft
McAfee (Poland)
AOC
KONTEL Spółka z ograniczoną odpowiedzialnością Sp.k.
Zakład Elektronicznej Techniki Obliczeniowej Katowice
Innergo Systems
C&F
Streamsoft
VSoft
IntegraKom sp. z o.o.
Citrix Systems Poland
eo Networks
Q4Net
IT CONNECT
e-point
ZETO SOFTWARE Sp. z o.o.
Hitachi Data Systems (Polska) Sp. z o.o.
Zakład Usług Informatycznych OTAGO Sp. z o.o.
Globema
InsERT
Comarch Healthcare
Cybercom Poland
ITBoom
REKORD SI
Guidewire Software Poland
Teradata Polska
Beyond.pl
Kotrak
Business Partners eXcellence Sp. z o.o.
LSI Software
ITMAGINATION
Ventus Communications
LiveChat Software
JCommerce
Sputnik Software
Xplus
Systemy Informatyczne Alma
Konwerga
Quest-Dystrybucja
11 bit studios
ZAKŁAD ELEKTRONICZNEJ TECHNIKI OBLICZENIOWEJ SP. Z O.O.
Cloud Technologies
American Systems
ZETO w Poznaniu
MakoLab
Surfland Systemy Komputerowe S.A.
7bulls.com
apreel
Atende Software
TTS Company
Wind Mobile
ZETO Tarnów
Komserwis Przedsiębiorstwo Innowacyjno-Wdrożeniowe
CTPartners
Compendium Centrum Edukacyjne
BMM
Sagra Technology Sp. z o.o.
Vivid Games
eConsulting Sp. z o.o.
GAVDI Polska
SIMPLE Sp. z o.o.
NETZ
FQS Poland
IAI
Veeam Software
Petrosoft.pl Technologie Informatyczne
Graffiti.ERP
BizTech Konsulting
Eurotronic
Soneta
BTC Business Technology Consulting Sp. z o.o.
Quantum Software
Softman
TouK
DSR Sp. z o.o.
HEUTHES Sp. z o.o.
Decerto
Netwise
Business Management Software
MINERAL MIDRANGE SA
Power Media
Centrum Systemów Komputerowych ZETO SA
NetLand
PROBIT ZUKiB W.Zawadzki
7milowy
3Services Factory S.A.
MAP solutions Sp. z o.o.
FABRITY K2
Arrow ECS Services
tekten
Polsoft Engineering
ValueTank
eSourcing
Trend Micro
Atabajt Roik, Słowik, Mazurkiewicz
Consdata
Pretius
The Farm 51 Group
Bloober Team
RBO Sp. z o.o.
XSolve
EQ System
ALTAB
OEPD ŁABĘDY Sp. z o.o.
proALPHA Polska
Pivotal Polska
Softhis
Sente Systemy Informatyczne
Lunar Logic Sp. z o.o.
RAM-SERWIS
Alfavox
BSC Polska
DataConsult
Merinosoft
Consileon Polska
CPU-Service sp. z o.o.
WHEEL Systems
Ravnet
inSolutions s.c.
INSOFT
Controlling Systems Sp. z o.o.
IBPM SA
F5 Networks
System-1
Macro Games
ITSG
Reset2
GECOS Sp. z o.o.
CCA Europe.pl
Risco Software
ETOB-RES
ODL
OSEC Sp. z o.o.
Looksoft
espeo software
Systemics-PAB
MGA
COMP Soft
ITCube Software
Enxoo
CONSORG
Goldenberry
F-Secure sp. z o.o.
Syndatis
LSB DATA
Planet Soft
KOMPLUS
Sanmargar Team
ASKA
2INTELLECT.COM S.A.
ARISCO Sp. z o.o.
Xylent
Stanusch Technologies
Varico
ALPOL Przemysław Lepiarz
AKRA Polska
BMS Creative
IMMUSEC Sp. z o.o.
E-integra
SOLVER
Norbsoft
GRC Advisory
Voice Lab Sp. z o.o.
Chilid Agency 
